Orderregel,MachineNaam,Sum of VOCA in uur,Status
174255,Laser 4,0.09,InProgress
174481,Flash_Cut 1,0.25,InProgress
174629,Quad,10.11,InProgress
174643,Quad,4.32,InProgress
174762,Assemblage Secrid,0.81,InProgress
174772,,2.22,InProgress
174808,Assemblage Secrid,2.22,InProgress
174809,Assemblage Secrid,3.33,InProgress
174810,Assemblage Secrid,10,InProgress
174811,Assemblage Secrid,21.11,InProgress
174814,Assemblage Secrid,3.33,InProgress
174815,Assemblage Secrid,13.33,InProgress
174816,Assemblage Secrid,3.33,InProgress
174817,Assemblage Secrid,6.67,InProgress
174818,Assemblage Secrid,3.33,InProgress
174819,Assemblage Secrid,4.44,InProgress
174820,Assemblage Secrid,3.33,InProgress
174888,Laser 4,0.43,InProgress
174977,Quad,5.03,InProgress
175028,Stikken Secrid,18.5,InProgress
175029,Stikken Secrid,9.25,InProgress
175030,Stikken Secrid,6.17,InProgress
175031,Stikken Secrid,3.08,InProgress
175032,Stikken Secrid,15.42,InProgress
175033,Stikken Secrid,9.25,InProgress
175034,Stikken Secrid,6.17,InProgress
175035,Stikken Secrid,3.08,InProgress
175036,Stikken Secrid,3.08,InProgress
175037,Stikken Secrid,15.42,InProgress
175038,Stikken Secrid,3.08,InProgress
175039,Stikken Secrid,6.17,InProgress
175040,Stikken Secrid,15.42,InProgress
175041,Stikken Secrid,9.25,InProgress
175042,Stikken Secrid,27.75,InProgress
175043,Stikken Secrid,21.58,InProgress
174541,Chiesa,5.75,InProgress
174572,Laser 3,1.56,InProgress
174588,Laser 3,0.21,InProgress
174620,Degel 1,7.23,InProgress
174621,Degel 1,3.29,InProgress
174648,Chiesa,5.21,InProgress
174705,Laserstansen,0.9,InProgress
174709,Laserstansen,0.27,InProgress
174795,Sysco,2.62,InProgress
174874,Laser 2,10.15,InProgress
166629,Preegmachine Omac,19.86,InProgress
173068,Giant,0.94,InProgress
173299,Degel 4,16.67,InProgress
173303,Degel 4,17,InProgress
173304,Degel 4,17.56,InProgress
173305,Degel 4,17.44,InProgress
173308,Degel 4,17.18,InProgress
173309,Degel 4,34.67,InProgress
173310,Degel 4,4.6,InProgress
173883,Snijmachine,2.08,InProgress
174039,Giant,68.6,InProgress
174262,Laser 2,30.69,InProgress
174298,Laser 4,58.06,InProgress
174321,Sysco,1.83,InProgress
174468,Laser 3,0.25,InProgress
174508,Laser 4,1.04,InProgress
174704,Laser 2,0.25,InProgress
174751,Laser 4,2.21,InProgress
174753,Laser 4,0.17,InProgress
174788,Giant,15.91,InProgress
174789,Giant,5.45,InProgress
174934,Quad,3.36,InProgress
174935,Quad,5.03,InProgress
174937,Quad,5.03,InProgress
174938,Quad,1.67,InProgress
174940,Quad,1.68,InProgress
174942,Quad,5.87,InProgress
174943,Quad,0.84,InProgress
174944,Quad,5.03,InProgress
174982,Degel 1,6.15,InProgress
175019,Giant,0.28,InProgress
175071,Flash_Cut 5,0.91,InProgress
175073,Laserstansen,0.58,InProgress
173608,Laser 4,8.58,InProgress
173821,Laser 4,11.15,InProgress
174304,Degel 1,0.01,InProgress
174305,Laser 2,2.47,InProgress
174386,Atom,1.42,InProgress
174390,Chiesa,1.18,InProgress
174393,Chiesa,1.26,InProgress
174488,Chiesa,0.82,InProgress
174491,Chiesa,0.79,InProgress
174497,Chiesa,1.69,InProgress
174500,Atom,4.89,InProgress
174675,Atom,5.78,InProgress
174931,Laser 2,5.67,InProgress
174996,Degel 1,0.01,InProgress
175076,Giant,0.26,InProgress
175077,Giant,0.4,InProgress
175106,Chiesa,0.66,InProgress
175185,Laser 2,0.26,InProgress
175256,Quad,5.03,InProgress
175257,Flash_Cut 2,1.12,InProgress
174414,Laser 4,0.35,InProgress
174469,Giant,1.84,InProgress
174470,Giant,2.45,InProgress
174471,Giant,1.64,InProgress
174718,Laser 2,1.79,InProgress
174722,Sysco,5.36,InProgress
174723,Sysco,5.92,InProgress
174724,Sysco,12.82,InProgress
175140,Laserstansen,0.39,InProgress
168955,Quad,10.7,InProgress
173091,Laser 2,96.43,InProgress
173810,Chiesa,11.01,InProgress
173811,Assemblage drankverpakkingen,226.89,InProgress
173846,Freesmachine,0.57,InProgress
173847,Buigmachine,0.28,InProgress
173848,Assemblage 1,0.05,InProgress
173877,Freesmachine,0.64,InProgress
173878,Buigmachine,0.58,InProgress
173879,Assemblage 1,0.78,InProgress
173898,Quad,9.02,InProgress
173899,Quad,6.16,InProgress
174033,Chiesa,1.99,InProgress
174034,Assemblage drankverpakkingen,42.3,InProgress
174154,Freesmachine,0.1,InProgress
174155,Buigmachine,0.17,InProgress
174156,Assemblage 1,0.22,InProgress
174225,Quad,8.56,InProgress
174365,Laser 4,0.26,InProgress
174366,Laser 4,0.01,InProgress
174367,Laser 4,0.01,InProgress
174368,Laser 4,0.01,InProgress
174369,Laser 4,0.01,InProgress
174371,Laser 4,0.01,InProgress
174375,Laser 4,0.01,InProgress
174376,Laser 4,0.01,InProgress
174377,Laser 4,0,InProgress
174379,Freesmachine,0.38,InProgress
174380,Buigmachine,0.17,InProgress
174381,Assemblage 1,0.17,InProgress
174627,Assemblage Secrid,44.44,InProgress
174684,Verzenden,0.25,InProgress
174686,Laser 4,0.01,InProgress
174688,Laser 4,0.48,InProgress
174692,Laser 2,0.01,InProgress
174967,Assemblage Secrid,1.11,InProgress
175017,Laser 4,0.67,InProgress
175022,Laser 4,2.08,InProgress
175044,Assemblage Secrid,8.89,InProgress
175045,Assemblage Secrid,17.78,InProgress
175046,Assemblage Secrid,5.56,InProgress
175047,Assemblage Secrid,1.11,InProgress
175048,Assemblage Secrid,5.56,InProgress
175049,Assemblage Secrid,2.22,InProgress
175050,Assemblage Secrid,3.33,InProgress
175051,Assemblage Secrid,3.33,InProgress
175052,Assemblage Secrid,1.11,InProgress
175053,Assemblage Secrid,1.11,InProgress
175054,Assemblage Secrid,1.11,InProgress
175055,Assemblage Secrid,2.22,InProgress
175056,Assemblage Secrid,3.33,InProgress
175107,Verzenden,0.25,InProgress
175110,Buigmachine,0.28,InProgress
175111,Assemblage 1,0.05,InProgress
175146,Degel 1,3.46,InProgress
175155,Giant,8.58,InProgress
175178,Laser 4,0.41,InProgress
175240,Laser 3,0.25,InProgress
175385,,19,InProgress
175386,Stikken Secrid,15.42,InProgress
175387,Stikken Secrid,6.17,InProgress
175388,Stikken Secrid,6.17,InProgress
175389,Stikken Secrid,9.25,InProgress
175391,Stikken Secrid,15.42,InProgress
175392,Stikken Secrid,23.75,InProgress
175393,Stikken Secrid,18.5,InProgress
175394,Stikken Secrid,15.42,InProgress
175395,Stikken Secrid,15.42,InProgress
175396,Stikken Secrid,9.25,InProgress
175397,Stikken Secrid,6.17,InProgress
175398,Stikken Secrid,6.17,InProgress
175399,Stikken Secrid,18.5,InProgress
175400,Stikken Secrid,3.08,InProgress
175401,Stikken Secrid,12.33,InProgress
175402,Stikken Secrid,15.42,InProgress
173815,Chiesa,25.27,InProgress
174907,Degel 2,3.8,InProgress
175190,Snijmachine,1.14,InProgress
175191,Snijmachine,1.14,InProgress
173713,Laser 2,0.78,InProgress
173714,Laser 2,1.25,InProgress
173715,Laser 3,0.59,InProgress
174350,Laser 3,0.25,InProgress
174363,Laser 3,0.52,InProgress
174372,Giant,2.13,InProgress
174373,Giant,1.88,InProgress
174383,Laser 3,0.25,InProgress
174494,Chiesa,1.18,InProgress
174913,Chiesa,0.85,InProgress
174914,Chiesa,0.7,InProgress
174915,Chiesa,0.68,InProgress
174916,Chiesa,1.36,InProgress
174926,Giant,0.25,InProgress
174963,Giant,7.75,InProgress
174964,Giant,5,InProgress
175060,Snijmachine,3.5,InProgress
175064,Snijmachine,1.5,InProgress
175069,Snijmachine,2.62,InProgress
175091,Quad,0.4,InProgress
175092,Quad,0.03,InProgress
175095,Quad,0.02,InProgress
175119,Giant,1.62,InProgress
175220,Quad,5.03,InProgress
175221,Quad,4.19,InProgress
175222,Stikken Secrid,18.5,InProgress
175224,Quad,8.39,InProgress
175227,Quad,5.03,InProgress
175231,Stikken Secrid,55.5,InProgress
175232,Quad,4.19,InProgress
175233,Quad,5.03,InProgress
175234,Stikken Secrid,37,InProgress
175265,Stikken Secrid,30.83,InProgress
175412,Laser 4,0.17,InProgress
174522,Giant,4.04,InProgress
174524,Sysco,3.83,InProgress
174525,Sysco,3.19,InProgress
174526,Sysco,2.47,InProgress
174527,Sysco,2.01,InProgress
174528,Sysco,3.17,InProgress
174529,Sysco,2.42,InProgress
175008,Laser 3,0.25,InProgress
175098,Atom,2.73,InProgress
175100,Degel 3,0.03,InProgress
175169,Flash_Cut 3,1.36,InProgress
175422,Giant,0.25,InProgress
174968,Laser 3,2.2,InProgress
175114,Chiesa,0.54,InProgress
175115,Degel 1,32.75,InProgress
